sample_id,tank_id,sample_datetime,cockline_no,result_code,result_description,notes
1,WT11,2026-05-05 06:00:00,1,C,Clean Water,
2,WT11,2026-05-05 06:00:00,2,C,Clean Water,
3,WT11,2026-05-05 06:00:00,3,C,Clean Water,
4,WT11,2026-05-05 06:00:00,4,B,Black Water,
5,WT11,2026-05-05 06:00:00,5,E,Emulsion,
6,WT11,2026-05-05 08:00:00,1,C,Clean Water,
7,WT11,2026-05-06 08:00:00,2,C,Clean Water,
8,WT11,2026-05-07 08:00:00,3,C,Clean Water,
9,WT11,2026-05-08 08:00:00,4,B,Black Water,
10,WT11,2026-05-09 08:00:00,5,E,Emulsion,
11,WT11,2026-05-05 10:00:00,1,C,Clean Water,
12,WT11,2026-05-05 10:00:00,2,C,Clean Water,
13,WT11,2026-05-05 10:00:00,3,C,Clean Water,
14,WT11,2026-05-05 10:00:00,4,B,Black Water,
15,WT11,2026-05-05 10:00:00,5,E,Emulsion,
16,WT11,2026-05-05 12:00:00,1,C,Clean Water,
17,WT11,2026-05-05 12:00:00,2,C,Clean Water,
18,WT11,2026-05-05 12:00:00,3,C,Clean Water,
19,WT11,2026-05-05 12:00:00,4,E,Emulsion,
20,WT11,2026-05-05 12:00:00,5,B,Black Water,
21,WT11,2026-05-05 14:00:00,1,C,Clean Water,
22,WT11,2026-05-05 14:00:00,2,C,Clean Water,
23,WT11,2026-05-05 14:00:00,3,C,Clean Water,
24,WT11,2026-05-05 14:00:00,4,C,Clean Water,
25,WT11,2026-05-05 14:00:00,5,C,Clean Water,
25,WT11,2026-05-05 16:00:00,1,C,Clean Water,
26,WT11,2026-05-05 16:00:00,2,C,Clean Water,
27,WT11,2026-05-05 16:00:00,3,C,Clean Water,
28,WT11,2026-05-05 16:00:00,4,C,Clean Water,
29,WT11,2026-05-05 16:00:00,5,C,Clean Water,
30,WT11,2026-05-05 18:00:00,1,C,Clean Water,
31,WT11,2026-05-05 18:00:00,2,C,Clean Water,
32,WT11,2026-05-05 18:00:00,3,C,Clean Water,
33,WT11,2026-05-05 18:00:00,4,C,Clean Water,
34,WT11,2026-05-05 18:00:00,5,C,Clean Water,
35,WT11,2026-05-05 20:00:00,1,C,Clean Water,
36,WT11,2026-05-05 20:00:00,2,C,Clean Water,
37,WT11,2026-05-05 20:00:00,3,C,Clean Water,
38,WT11,2026-05-05 20:00:00,4,C,Clean Water,
39,WT11,2026-05-05 20:00:00,5,B,Black Water,
40,WT11,2026-05-05 22:00:00,1,C,Clean Water,
41,WT11,2026-05-05 22:00:00,2,C,Clean Water,
42,WT11,2026-05-05 22:00:00,3,C,Clean Water,
43,WT11,2026-05-05 22:00:00,4,C,Clean Water,
44,WT11,2026-05-05 22:00:00,5,C,Clean Water,
45,WT11,2026-05-06 00:00:01,1,C,Clean Water,
46,WT11,2026-05-06 00:00:01,2,C,Clean Water,
47,WT11,2026-05-06 00:00:01,3,C,Clean Water,
48,WT11,2026-05-06 00:00:01,4,C,Clean Water,
49,WT11,2026-05-06 00:00:01,5,C,Clean Water,
50,WT11,2026-05-06 02:00:00,1,C,Clean Water,
51,WT11,2026-05-06 02:00:00,2,C,Clean Water,
52,WT11,2026-05-06 02:00:00,3,C,Clean Water,
53,WT11,2026-05-06 02:00:00,4,C,Clean Water,
54,WT11,2026-05-06 02:00:00,5,C,Clean Water,
55,WT11,2026-05-06 04:00:00,1,C,Clean Water,
56,WT11,2026-05-06 04:00:00,2,C,Clean Water,
57,WT11,2026-05-06 04:00:00,3,C,Clean Water,
58,WT11,2026-05-06 04:00:00,4,C,Clean Water,
59,WT11,2026-05-06 04:00:00,5,C,Clean Water,
60,WT11,2026-05-06 06:00:00,1,C,Clean Water,
61,WT11,2026-05-06 06:00:00,2,C,Clean Water,
62,WT11,2026-05-06 06:00:00,3,C,Clean Water,
63,WT11,2026-05-06 06:00:00,4,C,Clean Water,
64,WT11,2026-05-06 06:00:00,5,C,Clean Water,
65,WT11,2026-05-06 08:00:00,1,C,Clean Water,
66,WT11,2026-05-06 08:00:00,2,C,Clean Water,
67,WT11,2026-05-06 08:00:00,3,C,Clean Water,
68,WT11,2026-05-06 08:00:00,4,C,Clean Water,
69,WT11,2026-05-06 08:00:00,5,C,Clean Water,
70,WT11,2026-05-06 10:00:00,1,C,Clean Water,
71,WT11,2026-05-06 10:00:00,2,C,Clean Water,
72,WT11,2026-05-06 10:00:00,3,C,Clean Water,
73,WT11,2026-05-06 10:00:00,4,C,Clean Water,
74,WT11,2026-05-06 10:00:00,5,C,Clean Water,
75,WT11,2026-05-06 12:00:00,1,C,Clean Water,
76,WT11,2026-05-06 12:00:00,2,C,Clean Water,
77,WT11,2026-05-06 12:00:00,3,C,Clean Water,
