sensor_id,tank_id,reading_datetime,temperature_c,Pressure_kg,Level_mm,oil_outlet_pct,water_outlet_pct,level_change_rate,notes
1,WT11,2026-05-05 10:00:00,62.7,0.84,10414,40,52,,
2,WT11,2026-05-05 11:00:00,64.3,0.84,10362,37,52,-52,
3,WT11,2026-05-05 12:00:00,64.2,0.84,10418,34,47,56,
4,WT11,2026-05-05 13:00:00,64.1,0.84,10436,41,47,18,
5,WT11,2026-05-05 14:00:00,64,0.84,10370,40,47,-66,
6,WT11,2026-05-05 15:00:00,63.9,0.84,10434,45,52,64,
7,WT11,2026-05-05 16:00:00,63.6,0.84,10394,47,52,-40,
8,WT11,2026-05-05 17:00:00,63.5,0.83,10368,43,60,-26,
9,WT11,2026-05-05 18:00:00,63.4,0.83,10392,40,60,24,
10,WT11,2026-05-05 19:00:00,62.9,0.84,10434,41,60,42,
11,WT11,2026-05-05 20:00:00,62.4,0.84,10463,41,60,29,
12,WT11,2026-05-05 21:00:00,62.1,0.84,10455,48,57,-8,
13,WT11,2026-05-05 22:00:00,62,0.84,10446,51,56,-9,
14,WT11,2026-05-05 23:00:00,61.7,0.84,10378,51,55,-68,
15,WT11,2026-05-06 00:00:00,61.6,0.84,10328,54,55,-50,
16,WT11,2026-05-06 01:00:00,61.2,0.83,10288,45,58,-40,
17,WT11,2026-05-06 02:00:00,61.3,0.84,10300,42,58,12,
18,WT11,2026-05-06 03:00:00,60.8,0.84,10368,44,58,68,
19,WT11,2026-05-06 04:00:00,60,0.85,10408,61,58,40,
20,WT11,2026-05-06 05:00:00,59.8,0.84,10260,59,58,-148,
21,WT11,2026-05-06 06:00:00,59.9,0.86,10244,40,58,-16,
22,WT11,2026-05-06 07:00:00,61.2,0.88,10320,29,58,76,
23,WT11,2026-05-06 08:00:00,62.4,0.87,10432,47,58,112,
24,WT11,2026-05-06 09:00:00,62.5,0.84,10376,64,58,-56,
25,WT11,2026-05-06 10:00:00,62.8,0.86,10314,63,58,-62,
26,WT11,2026-05-06 11:00:00,62.8,0.86,10332,59,58,18,
27,WT11,2026-05-06 12:00:00,62.6,0.85,10346,62,58,14,
28,WT11,2026-05-06 13:00:00,62.4,0.85,10322,63,58,-24,
29,WT11,2026-05-06 14:00:00,62.4,0.85,10306,60,58,-16,
30,WT11,2026-05-06 15:00:00,62.6,0.85,10334,57,58,28,
31,WT11,2026-05-06 16:00:00,62.7,0.85,10344,57,58,10,
32,WT11,2026-05-06 17:00:00,62.5,0.84,10366,64,58,22,
33,WT11,2026-05-06 18:00:00,62.5,0.84,10350,64,58,-16,
34,WT11,2026-05-06 19:00:00,62.4,0.84,10332,55,65,-18,
35,WT11,2026-05-06 20:00:00,62.2,0.84,10316,55,63,-16,
36,WT11,2026-05-06 21:00:00,62.2,0.85,10310,55,63,-6,
37,WT11,2026-05-06 22:00:00,62.1,0.84,10310,55,63,0,
38,WT11,2026-05-06 23:00:00,61.6,0.85,10307,55,63,-3,
39,WT11,2026-05-07 00:00:00,61.2,0.86,10327,55,63,20,
40,WT11,2026-05-07 01:00:00,61.4,0.86,10321,53,60,-6,
41,WT11,2026-05-07 02:00:00,61.5,0.86,10322,50,63,1,
42,WT11,2026-05-07 03:00:00,61.9,0.86,10318,47,63,-4,
43,WT11,2026-05-07 04:00:00,62.3,0.85,10316,43,63,-2,
44,WT11,2026-05-07 05:00:00,61.9,0.86,10350,44,63,34,
45,WT11,2026-05-07 06:00:00,62.2,0.88,10347,48,63,-3,
46,WT11,2026-05-07 07:00:00,63.5,0.89,10334,49,63,-13,
47,WT11,2026-05-07 08:00:00,64.4,0.87,10346,51,63,12,
48,WT11,2026-05-07 09:00:00,65.1,0.9,10308,50,63,-38,
49,WT11,2026-05-07 10:00:00,65.2,0.88,10336,48,63,28,
50,WT11,2026-05-07 11:00:00,65,0.87,10354,51,63,18,
51,WT11,2026-05-07 12:00:00,64.5,0.85,10354,58,63,0,
52,WT11,2026-05-07 13:00:00,64.3,0.85,10292,55,63,-62,
53,WT11,2026-05-07 14:00:00,64,0.85,10298,48,63,6,
54,WT11,2026-05-07 15:00:00,64,0.86,10334,45,63,36,
55,WT11,2026-05-07 16:00:00,64,0.85,10362,49,63,28,
56,WT11,2026-05-07 17:00:00,64.1,0.87,10406,59,43,44,
57,WT11,2026-05-07 18:00:00,64.2,0.86,10482,65,43,76,
58,WT11,2026-05-07 19:00:00,63.8,0.88,10524,54,62,42,
59,WT11,2026-05-07 20:00:00,63.6,0.88,10569,54,62,45,
60,WT11,2026-05-07 21:00:00,63.1,0.89,10625,54,65,56,
